Code,Gender,Group,Age,Education,YIC_Eng,AOA_Eng,PercUse_Eng,Eng_Speaking,Eng_Reading,Eng_Writing,Eng_Understanding,Language1,Language2,Span_Speaking,Span_Reading,Span_Writing,Span_Listening,EngVF,SpnVF
laupri15,Female,Spanish,19,Trade School,0.5,11,24,5,5,4,6,Spanish,English,9,9,8,9,.,.
lautat47,Female,Spanish,23,Some College,0,7,5,8,9,8,8,Spanish,English,9,9,9,9,.,.
lauvel75,Female,Spanish,18,Some College,0.5,6,15,7,8,7,7,Spanish,English,9,9,9,10,41,54
lidgom69,Female,Spanish,23,High School/GED,.,5,20,7,8,8,8,Spanish,English,10,10,10,10,42,50
lidpin87,Female,Spanish,35,Other,.,.,.,.,.,.,.,Spanish,.,10,10,8,8,.,.
liljun23,Female,English,44,Some College,.,.,.,.,.,.,.,English,.,.,.,.,.,.,.
lilrey53,Female,.,43,Some High School,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
linzix16,Female,Chinese,19,High School/GED,0,4,10,4,6,5,5,Chinese,English,.,.,.,.,39,49
lorben71,Female,Spanish,21,High School/GED,.,7,6,4,5,5,4,Spanish,English,8,8,8,8,.,.
lucara26,Female,French\Spanish,24,Bachelor's Degree,0.5,9,9,7,7,7,7,French\Spanish,English,.,.,.,.,37,37
luiala25,Male,Spanish,24,Some College,0,5,20,8,9,9,9,Spanish,English,10,10,10,10,.,.
luifar00,Female,Spanish,23,Some College,0,6,15,6,6,5,8,Spanish,English,10,10,10,10,29,49
luisol51,Male,Spanish,19,High School/GED,0,15,24,7,7,7,9,Spanish,English,9,8,8,10,.,.
lunpat82,Female,Spanish,34,Bachelor's Degree, ,0,0,0,0,0,0,Spanish,English ,.,.,.,.,27,47
man41,Male,Spanish,22,High School/GED,0,8,9,7,7,7,8,Spanish,English,10,10,10,10,.,.
marard93,.,.,63,High School/GED,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
marcar04,Female,Spanish,23,High School/GED,0,23,10,3,6,6,7,Spanish,English,9,8,8,9,.,.
marceb68,Female,Spanish,19,High School/GED,0,4,30,6,8,6,8,Spanish,English,8,9,8,9,27,45
marfer49,Female,Spanish,18,High School/GED,.,10,13,7,6,5,6,Spanish,English,10,10,10,10,.,.
margal01,Female,Spanish,22,Some College,.,6,31,8,9,8,9,Spanish,English,10,10,10,10,34,53
mariba10,Female,Spanish,30,Master's Degree,0,4,23,8,8,8,8,Spanish,English,.,.,.,.,25,45
marisan,Female,Spanish,50,Trade School,.,.,6,.,8,8,8,Spanish,.,.,.,.,.,.,.
marpin94,Female,Spanish,22,High School/GED,.,5,24,9,9,9,9,Spanish,English,10,10,10,10,53,66
marpra32,Male,Spanish,30,Trade School,0,15,15,5,7,6,6,Spanish,English,8,9,9,8,.,.
marre85,Female,Spanish,22,Bachelor's Degree,0,5,34,8,8,8,8,Spanish,English,10,10,10,10,53,49
marrio86,Female,English,23,High School/GED,0,18,20,5,5,4,4,English,French,.,.,.,.,.,.
marriv98,Female,Spanish,25,Master's Degree,0.5,9,18,8,8,7,9,Spanish,English,10,10,10,10,24,56
marroj62,Female,Spanish,56,Trade School,.,20,10,2,5,5,5,Spanish,INGLÉS,10,10,9,9,.,.
marsan74,Female,Spanish,58,High School/GED,.,.,1,2,2,4,2,Spanish,English,9,9,10,9,.,.
marsar52,Female,Spanish,35,High School/GED,.,.,.,.,.,.,.,Spanish,.,10,10,10,10,.,.
marutr31,Female,Spanish,21,High School/GED,.,5,19,9,9,9,9,Spanish,English,10,10,10,10,33,45
marvar72,Other/Not wish to disclose,Spanish,19,High School/GED,0,7,44,7,7,7,7,Spanish,English,9,10,9,10,34,41
mauaya39,Male,Spanish,29,Trade School,0,.,14,2,2,2,2,Spanish,English,8,8,8,9,.,.
merrom07,Female,Spanish,24,Bachelor's Degree,0,6,15,5,7,7,7,Spanish,English,10,10,10,10,28,34
miggon96,Male,Spanish,26,Some College,.,7,16,7,7,7,7,Spanish,English,10,10,10,10,40,55
migper01,Male,Spanish,27,Bachelor's Degree,1,2,29,8,9,9,9,Spanish,English,10,10,10,10,.,.
miljar28,Female,Spanish,38,Some High School,.,.,.,.,.,.,.,Spanish,.,7,7,8,7,.,.
mimnav24,Female,Spanish,24,High School/GED,0.5,10,23,8,8,7,8,Spanish,English,10,10,9,10,.,.
minnav24,Female,Spanish,24,High School/GED,0.5,10,23,8,8,7,8,Spanish,English,.,.,.,.,44,51
mite52,Male,Spanish,24,High School/GED,0,4,40,9,8,9,9,Spanish,English,9'5,9'5,9'5,9'5,.,.
mongo16,Female,Spanish,25,High School/GED,6,6,1,8,8,8,9,Spanish,Enlgish,8,8,8,9,.,.
natjar88,Female,Spanish,33,Trade School,.,.,.,.,.,.,.,Spanish,English,0,0,0,0,.,.
natpat75,Female,Spanish,40,Other,.,13,5,4,5,4,3,Spanish,English,10,10,10,10,.,.
neidia23,Female,English,31,Trade School,0,18,1,3,3,3,3,English,French,.,.,.,.,.,.
niccru20,Female,Spanish,18,High School/GED,0,11,26,4,5,5,7,Spanish,English,7,7,8,9,.,.
nicvar72,Female,Spanish,23,Some High School,0,18,29,6,7,6,7,Spanish,English,8,9,8,9,.,.
osctor49,Male,Spanish,62,Bachelor's Degree,0,.,6,3,3,3,3,Spanish,English,9,9,9,9,.,.
patlun82,Female,Spanish,34,Bachelor's Degree,4,17,50,8,9,8,9,Spanish,English,10,10,10,10,.,.
patmic05,Female,Slovak,24,Bachelor's Degree,5,15,61,9,9,9,9,Slovak,Spanish,9,9,9,9,41,47
paucan88,Female,Spanish,25,Trade School,1,7,28,8,7,7,7,Spanish,English,9,9,9,9,.,.
pedale07,Male,Spanish,31,Trade School,.,.,.,.,.,.,.,Spanish,.,10,10,9,10,.,.
pedgon59,Male,Spanish,67,High School/GED,.,.,.,.,.,.,.,Spanish,.,9,9,9,9,.,.
pilluq66,Female,italiano,21,High School/GED,0,10,45,6,7,7,7,italiano,English,.,.,.,.,23,38
raqmat67,Female,Castellano,25,Master's Degree,0,9,17,6,8,5,6,Castellano,English,10,10,10,10,.,.
rauyan40,Male,English,20,High School/GED,.,.,.,.,.,.,.,English,.,.,.,.,.,.,.
reycha92,Male,Spanish,38,.,.,.,.,.,.,.,.,Spanish,.,10,10,10,10,.,.
richer10,Male,Spanish,51,High School/GED,.,.,.,.,.,.,.,Spanish,.,10,10,10,10,.,.
roxpun55,Female,Rumano,22,Some College,4,8,32,10,10,10,10,Rumano,Spanish,10,10,10,10,24,26
rubgir32,Male,Spanish,24,Bachelor's Degree,0,.,13,3,4,2,4,Spanish,English,9,9,9,9,.,.
rubsan78,Male,Spanish,20,High School/GED,10,0,3,8,10,7,10,Spanish,Portuguese,9,10,10,10,27,55
ruison53,Female,Chinese,19,High School/GED,3,11,51,7,8,8,7,Chinese,English,.,.,.,.,43,40
ruosun50,Female,Chinese,22,Bachelor's Degree,0.5,6,21,5,6,5,8,Chinese,English,.,.,.,.,35,47
salenr78,Female,Spanish,22,Some College,.,17,3,2,2,2,2,Spanish,English,9,9,9,9,45,56
sanala00,Female,Spanish,26,Bachelor's Degree,.,14,19,7,8,8,7,Spanish,English,9,9,10,9,.,.
sandraalvarado,Female,Spanish,32,High School/GED,.,.,.,.,.,.,.,Spanish,.,.,.,.,.,.,.
sangon62,Male,Spanish,28,Some High School,0,20,29,3,4,3,2,Spanish,italiano,9,9,8,9,.,.
sanher07,Male,English,22,High School/GED,.,.,.,.,.,.,.,English,.,.,.,.,.,.,.
sebgom06,Male,Spanish,22,Trade School,.,.,.,.,.,.,.,Spanish,.,8,9,8,9,.,.
sebrio26,Male,Spanish,22,Trade School,0,7,30,8,8,9,9,Spanish,English,9,10,9,9,.,.
